eventnumber,filenumber,event,pname,eventlabel,Brightness,Difficulty,TSide,TFeature,DFeature,ymaxframe,RT,ButtonRT,abvelthreshold,Vmax5percent,VthresholdGC,Vmax,VmaxMT,stoptime,mainreach,initreach,pathlengthnorm,pathlengthmm,movetime,deceltime,normlength,AUC,maxaperture,maxaptime,stopX,stopY
1,1,1,l1,Datafile processing l1 Block 1 event 1,Bri,Esy,Rgt,Vert,Horz,117,0.28,0,77,48,47,9.63634720722247,86,117,Correct,Incorrect,1.11455058862198,274.070676310513,0.7,0.31,1.11455058862198,0.102479714279306,119.464162041055,0.885714285714286,141.896536166854,232.566260094676
2,1,2,l1,Datafile processing l1 Block 1 event 2,Bri,Esy,Lft,Horz,Horz,104,0.25,0,65,45,61,11.8774681459724,76,111,Correct,Correct,1.0159439809426,261.606351303288,0.5,0.35,1.0159439809426,0.0244670610758133,108.699647266353,0.74,-158.970653507285,247.446259545325
3,1,3,l1,Datafile processing l1 Block 1 event 3,Bri,Hrd,Lft,Horz,Horz,103,0.32,0,46,37,36,8.6706640249929,58,102,Incorrect,Incorrect,1.00758483282877,273.727137957084,0.66,0.44,1.00758483282877,-0.00162505343220332,101.996962169273,0.227272727272727,117.905915894925,245.446944141525
4,1,4,l1,Datafile processing l1 Block 1 event 4,Bri,Esy,Rgt,Horz,Vert,117,0.51,0,65,56,55,9.36983204327267,76,117,Correct,Correct,1.00520225747157,271.408039901982,0.62,0.41,1.00520225747157,-0.0100844749939045,104.165098251565,0.758064516129032,111.53669656107,246.755725613314
5,1,5,l1,Datafile processing l1 Block 1 event 5,Bri,Hrd,Rgt,Horz,Vert,93,0.3,0,49,37,35,10.3648705085369,62,93,Correct,Correct,1.00811526032522,271.321975197653,0.58,0.31,1.00811526032522,-0.0031387452356619,104.338307280907,0.206896551724138,113.568311631614,244.708024699775
6,1,6,l1,Datafile processing l1 Block 1 event 6,Bri,Esy,Rgt,Vert,Vert,100,0.46,0,60,51,51,10.8125395710085,71,109,Correct,Correct,1.01436817653736,284.40094400682,0.58,0.38,1.01436817653736,0.00119614361634594,122.503390106582,0.741379310344828,146.473843363088,243.278676333318
7,1,7,l1,Datafile processing l1 Block 1 event 7,Bri,Hrd,Rgt,Horz,Horz,110,0.47,0,63,52,51,9.72642043039423,75,109,Correct,Correct,1.00607982737038,286.543378931619,0.58,0.34,1.00607982737038,-0.00308099809081615,103.087332875246,0.793103448275862,121.830275801179,257.320179186317
8,1,8,l1,Datafile processing l1 Block 1 event 8,Bri,Esy,Lft,Vert,Vert,123,0.72,0,84,78,78,10.7462920548124,96,122,Correct,Correct,1.00163685713572,271.348023283385,0.44,0.26,1.00163685713572,-0.0124323603392921,109.705807205848,0.772727272727273,-147.965704766396,229.252727084662
9,1,9,l1,Datafile processing l1 Block 1 event 9,Bri,Hrd,Lft,Horz,Vert,111,0.25,0,58,36,44,8.35165131655706,70,111,Incorrect,Incorrect,1.01495575334213,250.389823085052,0.67,0.41,1.01495575334213,0.0189378846434505,126.935367177648,0.850746268656716,131.603462356501,232.466924634735
10,1,10,l1,Datafile processing l1 Block 1 event 10,Bri,Esy,Lft,Vert,Horz,115,0.46,0,66,52,55,8.61977264275714,83,112,Correct,Correct,1.04614658537102,277.196452705957,0.57,0.29,1.04614658537102,0.0869571093411464,104.256391711735,0.0175438596491228,-152.948950471902,234.675693103448
