eventnumber,filenumber,event,pname,eventlabel,Brightness,Difficulty,TSide,TFeature,DFeature,ymaxframe,RT,ButtonRT,abvelthreshold,Vmax5percent,VthresholdGC,Vmax,VmaxMT,stoptime,mainreach,initreach,pathlengthnorm,pathlengthmm,movetime,deceltime,normlength,AUC,maxaperture,maxaptime,stopX,stopY
1,1,1,p12f29,Datafile processing p12f29 Block 1 event 1,Bri,Bas,Rgt,Vert,Miss,71,0.35,467,42,37,36,13.4773782590874,52,70,Correct,Correct,1.04940112574069,241.32680606478,0.34,0.18,1.04940112574069,-0.086555086351928,119.366845392387,0.764705882352941,150.779174272787,184.782505538561
2,1,2,p12f29,Datafile processing p12f29 Block 1 event 2,Bri,Esy,Rgt,Vert,Horz,63,0.34,503,41,37,36,16.3168599196414,49,63,Correct,Correct,1.01837440909562,259.278915292123,0.27,0.14,1.01837440909562,-0.0498849952693997,115.692736934823,0.814814814814815,160.917402272908,201.909966741369
3,1,3,p12f29,Datafile processing p12f29 Block 1 event 3,Bri,Esy,Lft,Vert,Vert,71,0.35,485,44,40,39,13.9598923699965,54,71,Correct,Correct,1.00647222709027,258.287478443743,0.32,0.17,1.00647222709027,0.00512290482033399,128.944022765938,0.71875,-136.924474817202,218.014532498025
4,1,4,p12f29,Datafile processing p12f29 Block 1 event 4,Bri,Esy,Rgt,Horz,Vert,66,0.32,463,39,36,33,16.8555832974006,48,65,Correct,Correct,1.00721643592164,301.726112581054,0.32,0.17,1.00721643592164,-0.0189655111522914,108.523447794326,0.59375,182.486351099617,238.730570271588
5,1,5,p12f29,Datafile processing p12f29 Block 1 event 5,Bri,Esy,Lft,Horz,Vert,71,0.35,493,44,40,38,14.3350872338986,53,70,Correct,Correct,1.01805547779751,258.21367886313,0.32,0.17,1.01805547779751,0.0453262463074595,121.106895512701,0.75,-90.7959568703458,239.447491848095
6,1,6,p12f29,Datafile processing p12f29 Block 1 event 6,Bri,Bas,Rgt,Horz,Miss,61,0.3,431,37,34,33,18.6042484682598,46,61,Correct,Correct,1.00762218838816,312.528446983344,0.28,0.15,1.00762218838816,-0.0304730950535201,113.53319826292,0.571428571428571,191.6534759013,242.882224154522
7,1,7,p12f29,Datafile processing p12f29 Block 1 event 7,Bri,Esy,Rgt,Vert,Vert,58,0.27,405,34,31,31,17.7360787358913,42,58,Correct,Correct,1.0636823169432,265.362248505954,0.27,0.16,1.0636823169432,-0.0877418033491654,130.758716024406,0.666666666666667,148.543066435306,216.672492264451
8,1,8,p12f29,Datafile processing p12f29 Block 1 event 8,Bri,Bas,Lft,Vert,Miss,65,0.31,433,40,36,35,16.1947469401742,52,66,Correct,Correct,1.03589250786338,281.910410250329,0.31,0.14,1.03589250786338,0.0652150187588995,127.009723211355,0.483870967741935,-165.6256853161,226.44770017407
9,1,9,p12f29,Datafile processing p12f29 Block 1 event 9,Bri,Hrd,Lft,Horz,Horz,59,0.25,379,34,30,28,15.1792184346072,44,58,Correct,Correct,1.00183057418892,266.840557210782,0.3,0.14,1.00183057418892,0.0126503664206032,123.140293071011,0.7,-81.4920296151471,252.7668037103
10,1,10,p12f29,Datafile processing p12f29 Block 1 event 10,Bri,Hrd,Rgt,Horz,Horz,67,0.28,409,38,33,32,13.370388783501,47,66,Incorrect,Incorrect,1.00466365370687,259.97547074775,0.34,0.19,1.00466365370687,0.0107396621658204,122.545419386924,0.588235294117647,-76.3866138772056,246.594497326578
11,1,11,p12f29,Datafile processing p12f29 Block 1 event 11,Bri,Hrd,Lft,Horz,Vert,70,0.36,483,45,41,40,16.0000724869624,55,69,Correct,Correct,1.00239314409473,284.231094395497,0.29,0.14,1.00239314409473,0.0173929929695805,123.657448912323,0.482758620689655,-114.548198655284,257.223847752557
12,1,12,p12f29,Datafile processing p12f29 Block 1 event 12,Bri,Esy,Rgt,Horz,Horz,65,0.32,454,39,35,33,18.2567485702515,47,64,Correct,Correct,1.00605466305327,314.258230030749,0.31,0.17,1.00605466305327,-0.023464915123415,107.72056033338,0.129032258064516,204.823645303224,233.809898305382
13,1,13,p12f29,Datafile processing p12f29 Block 1 event 13,Bri,Esy,Lft,Horz,Horz,69,0.34,469,43,39,38,15.2496053273691,52,68,Correct,Correct,1.01180312619179,274.497403561746,0.3,0.16,1.01180312619179,0.0357610677884008,127.119968736294,0.466666666666667,-97.6916146469564,254.211579710956
14,1,14,p12f29,Datafile processing p12f29 Block 1 event 14,Bri,Esy,Lft,Vert,Horz,68,0.32,444,41,36,36,14.0177423495593,51,68,Correct,Correct,1.00564077561811,263.082209217307,0.32,0.17,1.00564077561811,0.0212606381916553,130.376672970392,0.71875,-139.090914128762,222.1583672472
15,1,15,p12f29,Datafile processing p12f29 Block 1 event 15,Bri,Hrd,Rgt,Horz,Vert,78,0.33,460,42,38,39,15.7550548205453,55,78,Correct,Incorrect,1.19147454587432,298.665573469037,0.39,0.23,1.19147454587432,0.191173370745153,121.976579069426,0.230769230769231,156.094267398613,251.598313589041
16,1,16,p12f29,Datafile processing p12f29 Block 1 event 16,Bri,Hrd,Rgt,Vert,Horz,64,0.32,410,39,35,32,16.4418354864559,47,64,Correct,Correct,1.03600308569001,271.053996189565,0.32,0.17,1.03600308569001,-0.0676750949211737,117.250407478544,0.71875,149.1312287436,224.031997829649
17,1,17,p12f29,Datafile processing p12f29 Block 1 event 17,Bri,Hrd,Lft,Vert,Horz,83,0.41,494,50,41,40,13.0779600368985,66,84,Correct,Incorrect,1.24856629314129,257.411990575566,0.44,0.18,1.24856629314129,0.199875400801232,131.330874636504,0.772727272727273,-132.887026747481,219.253573317733
18,1,18,p12f29,Datafile processing p12f29 Block 1 event 18,Bri,Bas,Lft,Horz,Miss,67,0.33,442,41,37,37,16.7990767624573,52,66,Correct,Correct,1.0068507070375,294.271393828683,0.29,0.14,1.0068507070375,0.0278959484438572,122.083760538246,0.689655172413793,-94.2954576146884,275.656025167333
19,1,19,p12f29,Datafile processing p12f29 Block 1 event 19,Bri,Hrd,Lft,Vert,Vert,72,0.36,477,45,40,39,14.1415301893525,55,72,Correct,Correct,1.00745003929852,266.961183433988,0.33,0.17,1.00745003929852,-0.0264121649617767,133.724314510351,0.727272727272727,-138.574572202125,227.334242451882
20,1,20,p12f29,Datafile processing p12f29 Block 1 event 20,Bri,Hrd,Rgt,Vert,Vert,74,0.41,519,48,44,41,16.4893257721879,56,74,Correct,Correct,1.05423150953651,273.562359407673,0.33,0.18,1.05423150953651,-0.0804253316707324,123.061966265596,0.696969696969697,166.149225366415,215.108249077211
21,2,1,p12f29,Datafile processing p12f29 Block 2 event 1,Drk,Bas,Rgt,Vert,Miss,67,0.33,477,40,37,37,16.7153775152729,48,66,Correct,Correct,1.03906769109902,272.855507920295,0.29,0.18,1.03906769109902,-0.0771091334690182,107.915646482971,0.344827586206897,167.634805139625,214.579407690405
22,2,2,p12f29,Datafile processing p12f29 Block 2 event 2,Drk,Hrd,Rgt,Horz,Horz,93,0.48,580,59,53,49,16.970972059149,69,93,Correct,Correct,1.0047770154736,311.439216015389,0.44,0.24,1.0047770154736,0.0146537343909777,118.219252448671,0.704545454545455,194.419197964035,236.215396930538
23,2,3,p12f29,Datafile processing p12f29 Block 2 event 3,Drk,Esy,Rgt,Horz,Horz,70,0.35,456,41,38,35,18.3958285170595,49,68,Correct,Correct,1.01820248394722,313.628895871868,0.33,0.19,1.01820248394722,-0.0488654561462607,121.660973504313,0.575757575757576,200.92260359801,239.419274449778
24,2,4,p12f29,Datafile processing p12f29 Block 2 event 4,Drk,Bas,Lft,Horz,Miss,75,0.37,486,46,42,41,14.2892797054919,57,74,Correct,Correct,1.00780696014151,278.712052056944,0.33,0.17,1.00780696014151,0.0181024266785133,119.62721363887,0.727272727272727,-94.7480216137831,259.341019080583
25,2,5,p12f29,Datafile processing p12f29 Block 2 event 5,Drk,Hrd,Rgt,Vert,Horz,80,0.45,603,52,49,48,14.5417938917858,61,80,Correct,Correct,1.03137795706448,261.291178504297,0.32,0.19,1.03137795706448,-0.0698755086612681,126.548890686369,0.75,155.864562705383,208.145487067157
26,2,6,p12f29,Datafile processing p12f29 Block 2 event 6,Drk,Esy,Lft,Horz,Horz,74,0.37,504,45,38,36,13.8794022827619,56,73,Correct,Incorrect,1.05693222866358,259.799754155355,0.37,0.17,1.05693222866358,0.0541690362341096,122.631606481804,0.702702702702703,-87.2675711673521,243.503841344873
27,2,7,p12f29,Datafile processing p12f29 Block 2 event 7,Drk,Esy,Rgt,Vert,Vert,67,0.36,490,43,40,37,17.8546224057657,51,67,Correct,Correct,1.03403643939432,274.347815031771,0.3,0.16,1.03403643939432,-0.065890487904772,129.878087179078,0.733333333333333,161.787746576994,219.893875424026
28,2,8,p12f29,Datafile processing p12f29 Block 2 event 8,Drk,Bas,Lft,Vert,Miss,74,0.38,543,47,42,42,14.3463240280317,57,74,Correct,Correct,1.01604940471383,266.455550864847,0.32,0.17,1.01604940471383,-0.0315561027081684,130.218163036067,0.75,-146.981977570288,221.581344507813
29,2,9,p12f29,Datafile processing p12f29 Block 2 event 9,Drk,Bas,Rgt,Horz,Miss,64,0.3,443,37,35,33,19.5016997443504,46,63,Correct,Correct,1.00155688671751,324.25348098558,0.3,0.17,1.00155688671751,-0.00888703340265279,117.301330478832,0.633333333333333,209.691224727886,246.674369698001
30,2,10,p12f29,Datafile processing p12f29 Block 2 event 10,Drk,Esy,Rgt,Horz,Vert,67,0.31,421,39,35,34,17.7640001193267,48,67,Correct,Correct,1.00277566932277,317.234612470335,0.33,0.19,1.00277566932277,0.0123152488478555,112.645056984496,0.636363636363636,201.749747442427,241.691066520362
31,2,11,p12f29,Datafile processing p12f29 Block 2 event 11,Drk,Esy,Lft,Vert,Vert,79,0.4,505,50,45,42,13.4753322997697,61,79,Correct,Correct,1.02284364078336,258.694123490101,0.37,0.18,1.02284364078336,0.0569820899038893,127.26152584512,0.756756756756757,-136.875563326304,219.72538765293
32,2,12,p12f29,Datafile processing p12f29 Block 2 event 12,Drk,Hrd,Lft,Horz,Vert,77,0.38,479,48,43,41,15.0064609321746,59,76,Correct,Correct,1.00751942294181,293.400075993382,0.35,0.17,1.00751942294181,0.021416293762631,116.76396668446,0.742857142857143,-112.74327360065,268.395891223085
33,2,13,p12f29,Datafile processing p12f29 Block 2 event 13,Drk,Esy,Rgt,Vert,Horz,64,0.33,436,39,36,34,17.5060092866644,47,64,Correct,Correct,1.04293921406477,260.960055831331,0.3,0.17,1.04293921406477,-0.07974020860047,125.56889647262,0.7,156.377479012026,207.626606545501
34,2,14,p12f29,Datafile processing p12f29 Block 2 event 14,Drk,Hrd,Lft,Vert,Horz,87,0.37,483,44,39,38,11.6939476367689,58,87,Correct,Incorrect,1.24075692217023,277.591887658489,0.49,0.29,1.24075692217023,0.1795326982784,143.212118608531,0.795918367346939,-103.609896863619,255.543685496932
35,2,15,p12f29,Datafile processing p12f29 Block 2 event 15,Drk,Hrd,Lft,Horz,Horz,69,0.32,425,41,36,35,14.8751395892248,51,68,Correct,Correct,1.01018610063377,288.867690520253,0.33,0.17,1.01018610063377,0.0364170209634307,121.023557609243,0.454545454545455,-110.395097979574,263.630839851509
36,2,16,p12f29,Datafile processing p12f29 Block 2 event 16,Drk,Esy,Lft,Vert,Horz,64,0.27,404,35,31,31,14.4495610483699,45,64,Correct,Correct,1.0043249315005,279.39379362314,0.33,0.19,1.0043249315005,-0.0119840846989153,130.428505088118,0.757575757575758,-119.133395258755,249.86296297299
37,2,17,p12f29,Datafile processing p12f29 Block 2 event 17,Drk,Hrd,Lft,Vert,Vert,78,0.37,499,46,41,40,14.0428421395719,57,78,Correct,Correct,1.00416530578055,301.937755908121,0.38,0.21,1.00416530578055,0.0240116877124382,140.539828600601,0.868421052631579,-120.795540515619,274.273309303101
38,2,18,p12f29,Datafile processing p12f29 Block 2 event 18,Drk,Esy,Lft,Horz,Vert,69,0.31,415,40,36,35,14.6689240859144,51,68,Correct,Correct,1.01112995341321,286.426527179973,0.33,0.17,1.01112995341321,0.0335686814859974,125.784437942375,0.424242424242424,-104.739841257302,262.526088600056
39,2,19,p12f29,Datafile processing p12f29 Block 2 event 19,Drk,Hrd,Rgt,Horz,Vert,65,0.3,417,39,34,32,13.9785930279539,49,60,Correct,Incorrect,1.04531593032258,236.126094887089,0.28,0.11,1.04531593032258,0.0821957439868858,132.442247194804,0.928571428571429,0.345802461298431,218.611302269741
40,2,20,p12f29,Datafile processing p12f29 Block 2 event 20,Drk,Hrd,Rgt,Vert,Vert,71,0.35,455,43,39,38,14.8462650143874,53,70,Correct,Correct,1.00843672293927,259.498426531702,0.32,0.17,1.00843672293927,-0.0360314666582075,121.717152466164,0.71875,159.390245069021,203.053383305614
41,3,1,p12f29,Datafile processing p12f29 Block 3 event 1,Bri,Bas,Lft,Horz,Miss,73,0.33,481,42,37,36,12.8950734788778,54,72,Correct,Correct,1.01504393697043,276.770321616535,0.36,0.18,1.01504393697043,0.00501202765291549,120.036687841396,0.388888888888889,-98.2142681873149,255.903652041081
